,Base 2,Base 3,Base 4,Base 5,Base 6,Base 7,Base 8,Base 9,Base 10,Base 11,Base 12,Base 13,Base 14,Base 15,Base 16,Base 17,Base 18,Base 19,Base 20,Base 21,Base 22,Base 23,Base 24,Base 25,Base 26,Base 27,Base 28,Base 29,Base 30,Base 31,Base 32,Base 33,Base 34,Base 35,Base 36,Base 37,Base 38,Base 39,Base 40,Base 41,Base 42,Base 43,Base 44,Base 45,Base 46,Base 47,Base 48,Base 49,Base 50,Base 51,Base 52,Base 53,Base 54,Base 55,Base 56,Base 57,Base 58,Base 59,Base 60,Base 61,Base 62,Base 63,Base 64
2^-0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2^-1,0.1,0.111111111111111111111111111111111,0.2,0.2222222222222222222222,0.3,0.333333333333333333,0.4,0.4444444444444444,0.5,0.555555555555555,0.6,0.66666666666666,0.7,0.7777777777777,0.8,0.888888888888,0.9,0.999999999999,0.A,0.AAAAAAAAAAAA,0.B,0.BBBBBBBBBBB,0.C,0.CCCCCCCCCCC,0.D,0.DDDDDDDDDDD,0.E,0.EEEEEEEEEE,0.F,0.FFFFFFFFFF,0.G,0.GGGGGGGGGG,0.H,0.HHHHHHHHHH,0.I,0.IIIIIIIIII,0.J,0.JJJJJJJJJJ,0.K,0.KKKKKKKKK,0.L,0.LLLLLLLLL,0.M,0.MMMMMMMMM,0.N,0.NNNNNNNNN,0.O,0.OOOOOOOOO,0.P,0.PPPPPPPPP,0.Q,0.QQQQQQQQQ,0.R,0.RRRRRRRRR,0.S,0.SSSSSSSSS,0.T,0.TTTTTTTTT,0.U,0.UUUUUUUU,0.V,0.VVVVVVVV,0.W
2^-2,0.01,0.02020202020202020202020202020202,0.1,0.1111111111111111111111,0.13,0.151515151515151515,0.2,0.2222222222222222,0.25,0.282828282828282,0.3,0.33333333333333,0.37,0.3B3B3B3B3B3B3,0.4,0.444444444444,0.49,0.4E4E4E4E4E4E,0.5,0.555555555555,0.5B,0.5H5H5H5H5H5,0.6,0.66666666666,0.6D,0.6K6K6K6K6K6,0.7,0.7777777777,0.7F,0.7N7N7N7N7N,0.8,0.8888888888,0.8H,0.8Q8Q8Q8Q8Q,0.9,0.9999999999,0.9J,0.9T9T9T9T9T,0.A,0.AAAAAAAAA,0.AL,0.AWAWAWAWA,0.B,0.BBBBBBBBB,0.BN,0.BZBZBZBZB,0.C,0.CCCCCCCCC,0.CP,0.CcCcCcCcC,0.D,0.DDDDDDDDD,0.DR,0.DfDfDfDfD,0.E,0.EEEEEEEEE,0.ET,0.EiEiEiEiE,0.F,0.FFFFFFFF,0.FV,0.FlFlFlFl,0.G
2^-3,0.001,0.01010101010101010101010101010101,0.02,0.0303030303030303030303,0.043,0.060606060606060606,0.1,0.1111111111111111,0.125,0.141414141414141,0.16,0.18181818181818,0.1A7,0.1D1D1D1D1D1D1,0.2,0.222222222222,0.249,0.272727272727,0.2A,0.2D2D2D2D2D2D,0.2GB,0.2K2K2K2K2K2,0.3,0.33333333333,0.36D,0.3A3A3A3A3A3,0.3E,0.3I3I3I3I3I,0.3MF,0.3R3R3R3R3R,0.4,0.4444444444,0.48H,0.4D4D4D4D4D,0.4I,0.4N4N4N4N4N,0.4SJ,0.4Y4Y4Y4Y4Y,0.5,0.555555555,0.5AL,0.5G5G5G5G5,0.5M,0.5S5S5S5S5,0.5YN,0.5f5f5f5f5,0.6,0.666666666,0.6CP,0.6J6J6J6J6,0.6Q,0.6X6X6X6X6,0.6eR,0.6m6m6m6m6,0.7,0.777777777,0.7ET,0.7M7M7M7M7,0.7U,0.7c7c7c7c,0.7kV,0.7t7t7t7t,0.8
2^-4,0.0001,0.00120012001200120012001200120012,0.01,0.0124012401240124012401,0.0213,0.030303030303030303,0.04,0.0505050505050505,0.0625,0.076207620762076,0.09,0.0A740A740A740A,0.0C37,0.0E0E0E0E0E0E,0.1,0.111111111111,0.1249,0.13AD13AD13AD,0.15,0.16BH16BH16BH,0.185B,0.1A1A1A1A1A1,0.1C,0.1E1E1E1E1E1,0.1G6D,0.1IF51IF51IF,0.1L,0.1NG91NG91N,0.1Q7F,0.1T1T1T1T1T,0.2,0.2222222222,0.248H,0.26JO26JO26,0.29,0.2BKU2BKU2B,0.2E9J,0.2H2H2H2H2H,0.2K,0.2N2N2N2N2,0.2QAL,0.2TO82TO82,0.2X,0.2aPE2aPE2,0.2eBN,0.2i2i2i2i2,0.3,0.333333333,0.36CP,0.39SZ39SZ3,0.3D,0.3GTh3GTh3,0.3KDR,0.3O3O3O3O3,0.3S,0.3W3W3W3W3,0.3aET,0.3eXB3eXB3,0.3j,0.3nYJ3nYJ,0.3sFV,0.3x3x3x3x,0.4
2^-5,0.00001,0.00021121000211210002112100021121,0.002,0.0034231200342312003423,0.01043,0.013501350135013501,0.02,0.0247024702470247,0.03125,0.038659310386593,0.046,0.05386BA205386B,0.061A7,0.070707070707,0.08,0.090909090909,0.0A249,0.0B56A1EG0B56,0.0CA,0.0DG8B35J0DG8,0.0F2GB,0.0GC50GC50GC,0.0I,0.0JD70JD70JD,0.0L36D,0.0ML2E97G0ML,0.0OE,0.0Q84FBMJ0Q,0.0S3MF,0.0U0U0U0U0U,0.1,0.1111111111,0.1248H,0.139TIKRC13,0.14I,0.15SXJOAF15,0.174SJ,0.18KS18KS18,0.1A,0.1BLW1BLW1,0.1D5AL,0.1EXPMaC41,0.1GM,0.1ICTNeZ71,0.1K5YN,0.1M1M1M1M1,0.1O,0.1Q1Q1Q1Q1,0.1S6CP,0.1UEHR4dh1,0.1WQ,0.1YfLS8Em1,0.1b6eR,0.1dTC1dTC1,0.1g,0.1iUG1iUG1,0.1l7ET,0.1nk5VKGZ1,0.1qU,0.1tH9WOle,0.1w7kV,0.1z1z1z1z,0.2
2^-6,0.000001,0.00010210111220220001021011122022,0.001,0.0014340322421131001434,0.003213,0.0052341600523416,0.01,0.0123456801234568,0.015625,0.0198847057432A1,0.023,0.028435B7691A9C,0.030C37,0.037B037B037B,0.04,0.048D048D048D,0.051249,0.05C350GH9F2C,0.065,0.06IEG1D9AH84,0.07C85B,0.0862BJHE086,0.09,0.09J3CM6G09J,0.0AEG6D,0.0BAEKI3LDOO,0.0C7,0.0D427KB9ER,0.0E1Q7F,0.0F0F0F0F0F,0.0G,0.0H0H0H0H0H,0.0I248H,0.0J4W9ADNI1,0.0K9,0.0LEGSC57J2,0.0MLE9J,0.0NTXK4AE0N,0.0P,0.0QAaL5VG,0.0RNQAL,0.0ScCWdRNM,0.0UB,0.0VSbBge3N,0.0X2eBN,0.0YOB0YOB,0.0a,0.0bPD0bPD,0.0d36CP,0.0eWYDRjLQ,0.0gD,0.0hlAeUXoR,0.0jUKDR,0.0lEXSJg6,0.0n,0.0ohaTMF8,0.0qWaET,0.0sN2jA8HU,0.0uF,0.0w8ZGCNo,0.0y3sFV,0.0+0+0+0+,0.1
2^-7,0.0000001,0.00001220020221221112010120211011,0.0002,0.0004420133433040223214,0.0014043,0.0024520633611543,0.004,0.0056227845116734,0.0078125,0.00A44235837715,0.0116,0.0142195A34754C,0.01761A7,0.01B5793D01B57,0.02,0.02468ACF0246,0.029A249,0.02FB29HI4H16,0.032A,0.039780H4FJ42,0.03H42GB,0.04315L8IBFE,0.04C,0.04M1INFKCH9,0.057836D,0.05IKNMFAKCC,0.063E,0.06GFIA5J7D,0.070S3MF,0.07FN07FN07,0.08,0.08GP08GP08,0.091248H,0.09JXM56T9,0.0A4I,0.0APQWOL3S1,0.0BAQ4SJ,0.0BYGTLOQJV,0.0CK,0.0D5IANFSK,0.0DWY5AL,0.0EJ6GJZBW,0.0F5M,0.0Faf5hgOB,0.0GOK5YN,0.0HC5NeZT,0.0I,0.0Ib6OhCV,0.0JQS6CP,0.0KGH6dMaD,0.0L6Q,0.0Lo5KFGpe,0.0MgA6eR,0.0NYiE9mUR,0.0OS,0.0PLkhB7WS,0.0QGI7ET,0.0RBUq548i,0.0S7U,0.0T4HcagP,0.0U1w7kV,0.0V0V0V0V,0.0W
2^-8,0.00000001,0.000002211212221102021200212201201,0.0001,0.0002210041441242334104,0.00050213,0.001224365164062133,0.002,0.0027558422507816,0.00390625,0.005221184193625,0.0069,0.0087749518A28C,0.00AA0C37,0.00D2B496785A3,0.01,0.0123456789AB,0.014E1249,0.017F14I928A3,0.01B5,0.01F3EAJ27K21,0.01JD185B,0.021C2M495J7,0.026,0.02B0LO7MIL4,0.02GH1G6D,0.02MNPB7INJJ,0.031L,0.0387NJH9I6,0.03FE1Q7F,0.03NBFJ7R03,0.04,0.048CGKOT04,0.04HI248H,0.04RGSK3EM,0.0529,0.05CVYUT1WJ,0.05OD2E9J,0.05aRYAVWTF,0.06A,0.06N95BSEA,0.06bH2QAL,0.079OTVHRG,0.07OX,0.07eh2iLC5,0.08CA2eBN,0.08TQBhfEN,0.09,0.09IRak6FO,0.09cE36CP,0.0A88SjBI6,0.0ATD,0.0ApTA7YqK,0.0BL53KDR,0.0BinYWOFD,0.0CE,0.0CdNLY3ig,0.0D893aET,0.0DZFQ2VXp,0.0E3j,0.0EWdJILC,0.0F0y3sFV,0.0FVl0FVl,0.0G
2^-9,0.000000001,0.0000011021022220121221001022121,0.00002,0.0001102243220343414302,0.000231043,0.000445532432031051,0.001,0.0013728655703853,0.001953125,0.002666097647312,0.00346,0.0043A2490AB7AC,0.0055061A7,0.0068D24AB42C9,0.008,0.009A22BC44DE,0.00B70A249,0.00D7A294ADEB,0.00FCA,0.00I1HFK13KBB,0.00KHBF2GB,0.010HCMDG2L3,0.013,0.015CNC3NLN2,0.0188DL36D,0.01BBQ5H9BN9,0.01EOE,0.01IIBO8J93,0.01MM0S3MF,0.01R5N9JDFH,0.02,0.02468ACEGI,0.028Q1248H,0.02DPVRJ7B,0.02J4I,0.02OYHFEJG9,0.02V6K74SJ,0.02bXH5FZY7,0.035,0.03BP2QE75,0.03ITMD5AL,0.03QCEb8Z8,0.03YGM,0.03gi1MASP,0.04651K5YN,0.04EaTLi7B,0.04O,0.04XcIN37a,0.04i71S6CP,0.0544EMV93,0.05EWQ,0.05Pf53hqa,0.05bTSb6eR,0.05nqHGC7Y,0.067,0.06JeAjUML,0.06X4Ul7ET,0.06l7gUjGt,0.071qU,0.07GJe9Aa,,0.07lNVdFt,0.08
