,="Base 2",="Base 3",="Base 4",="Base 5",="Base 6",="Base 7",="Base 8",="Base 9",="Base 10",="Base 11",="Base 12",="Base 13",="Base 14",="Base 15",="Base 16",="Base 17",="Base 18",="Base 19",="Base 20",="Base 21",="Base 22",="Base 23",="Base 24",="Base 25",="Base 26",="Base 27",="Base 28",="Base 29",="Base 30",="Base 31",="Base 32",="Base 33",="Base 34",="Base 35",="Base 36",="Base 37",="Base 38",="Base 39",="Base 40",="Base 41",="Base 42",="Base 43",="Base 44",="Base 45",="Base 46",="Base 47",="Base 48",="Base 49",="Base 50",="Base 51",="Base 52",="Base 53",="Base 54",="Base 55",="Base 56",="Base 57",="Base 58",="Base 59",="Base 60",="Base 61",="Base 62",="Base 63",="Base 64"
="2^0",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1"
="2^1",="10",="2",="2",="2",="2",="2",="2",="2",="2",="2",="2",="2",="2",="2",="2",="2",="2",="2",="2",="2",="2",="2",="2",="2",="2",="2",="2",="2",="2",="2",="2",="2",="2",="2",="2",="2",="2",="2",="2",="2",="2",="2",="2",="2",="2",="2",="2",="2",="2",="2",="2",="2",="2",="2",="2",="2",="2",="2",="2",="2",="2",="2",="2"
="2^2",="100",="11",="10",="4",="4",="4",="4",="4",="4",="4",="4",="4",="4",="4",="4",="4",="4",="4",="4",="4",="4",="4",="4",="4",="4",="4",="4",="4",="4",="4",="4",="4",="4",="4",="4",="4",="4",="4",="4",="4",="4",="4",="4",="4",="4",="4",="4",="4",="4",="4",="4",="4",="4",="4",="4",="4",="4",="4",="4",="4",="4",="4",="4"
="2^3",="1000",="22",="20",="13",="12",="11",="10",="8",="8",="8",="8",="8",="8",="8",="8",="8",="8",="8",="8",="8",="8",="8",="8",="8",="8",="8",="8",="8",="8",="8",="8",="8",="8",="8",="8",="8",="8",="8",="8",="8",="8",="8",="8",="8",="8",="8",="8",="8",="8",="8",="8",="8",="8",="8",="8",="8",="8",="8",="8",="8",="8",="8",="8"
="2^4",="10000",="121",="100",="31",="24",="22",="20",="17",="16",="15",="14",="13",="12",="11",="10",="G",="G",="G",="G",="G",="G",="G",="G",="G",="G",="G",="G",="G",="G",="G",="G",="G",="G",="G",="G",="G",="G",="G",="G",="G",="G",="G",="G",="G",="G",="G",="G",="G",="G",="G",="G",="G",="G",="G",="G",="G",="G",="G",="G",="G",="G",="G",="G"
="2^5",="100000",="1012",="200",="112",="52",="44",="40",="35",="32",="2A",="28",="26",="24",="22",="20",="1F",="1E",="1D",="1C",="1B",="1A",="19",="18",="17",="16",="15",="14",="13",="12",="11",="10",="W",="W",="W",="W",="W",="W",="W",="W",="W",="W",="W",="W",="W",="W",="W",="W",="W",="W",="W",="W",="W",="W",="W",="W",="W",="W",="W",="W",="W",="W",="W",="W"
="2^6",="1000000",="2101",="1000",="224",="144",="121",="100",="71",="64",="59",="54",="4C",="48",="44",="40",="3D",="3A",="37",="34",="31",="2K",="2I",="2G",="2E",="2C",="2A",="28",="26",="24",="22",="20",="1V",="1U",="1T",="1S",="1R",="1Q",="1P",="1O",="1N",="1M",="1L",="1K",="1J",="1I",="1H",="1G",="1F",="1E",="1D",="1C",="1B",="1A",="19",="18",="17",="16",="15",="14",="13",="12",="11",="10"
="2^7",="10000000",="11202",="2000",="1003",="332",="242",="200",="152",="128",="107",="A8",="9B",="92",="88",="80",="79",="72",="6E",="68",="62",="5I",="5D",="58",="53",="4O",="4K",="4G",="4C",="48",="44",="40",="3T",="3Q",="3N",="3K",="3H",="3E",="3B",="38",="35",="32",="2g",="2e",="2c",="2a",="2Y",="2W",="2U",="2S",="2Q",="2O",="2M",="2K",="2I",="2G",="2E",="2C",="2A",="28",="26",="24",="22",="20"
="2^8",="100000000",="100111",="10000",="2011",="1104",="514",="400",="314",="256",="213",="194",="169",="144",="121",="100",="F1",="E4",="D9",="CG",="C4",="BE",="B3",="AG",="A6",="9M",="9D",="94",="8O",="8G",="88",="80",="7P",="7I",="7B",="74",="6Y",="6S",="6M",="6G",="6A",="64",="5f",="5a",="5V",="5Q",="5L",="5G",="5B",="56",="51",="4m",="4i",="4e",="4a",="4W",="4S",="4O",="4K",="4G",="4C",="48",="44",="40"
="2^9",="1000000000",="200222",="20000",="4022",="2212",="1331",="1000",="628",="512",="426",="368",="305",="288",="242",="200",="1D2",="1A8",="17I",="15C",="138",="116",="M6",="L8",="KC",="JI",="IQ",="I8",="HJ",="H2",="GG",="G0",="FH",="F2",="EM",="E8",="DV",="DI",="D5",="CW",="CK",="C8",="Bd",="BS",="BH",="B6",="Ag",="AW",="AM",="AC",="A2",="9i",="9Z",="9Q",="9H",="98",="8u",="8m",="8e",="8W",="8O",="8G",="88",="80"
