1971 April 25th, Sunday
1996 November 13th, Wednesday
1956 December 4th, Tuesday
1982 January 30th, Saturday
1934 July 4th, Wednesday
1954 December 6th, Monday
1941 Febuary 10th, Monday
1973 November 28th, Wednesday
1943 March 27th, Saturday
1933 November 28th, Tuesday
1999 April 8th, Thursday
1998 May 26th, Tuesday
1978 October 15th, Sunday
2017 November 1st, Wednesday
1933 Febuary 19th, Sunday
1947 September 7th, Sunday
1956 December 1st, Saturday
1949 August 6th, Saturday
2015 January 11th, Sunday
2003 October 23rd, Thursday
