Ext,Files,Portion of total files,Size (bytes),Portion of total bytes,Bytes per file
BMP,311,0.2500,1214502906,0.4922,3905154
MP3,137,0.1101,866566018,0.3512,6325299
RTF,13,0.0105,197105354,0.0799,15161950
WMA,15,0.0121,79807080,0.0323,5320472
JPG,673,0.5410,74300533,0.0301,110402
TMP,2,0.0016,19114989,0.0077,9557495
DB,42,0.0338,7164738,0.0029,170589
SHS,1,0.0008,3920384,0.0016,3920384
WAV,6,0.0048,2301722,0.0009,383620
PPTX,5,0.0040,2233568,0.0009,446714
PNG,6,0.0048,326525,0.0001,54421
PPT,1,0.0008,165376,0.0001,165376
DOCX,2,0.0016,141093,0.0001,70547
<no ext>,1,0.0008,34862,0.0000,34862
TXT,5,0.0040,30098,0.0000,6020
THEME,1,0.0008,5752,0.0000,5752
INI,17,0.0137,3766,0.0000,222
NFO,1,0.0008,1845,0.0000,1845
M3U,2,0.0016,1773,0.0000,887
SFV,1,0.0008,579,0.0000,579
Other,2,0.0016,173,0.0000,87
Total,1244,,2467729134,,1983705
