,="1/2",="1/3",="1/4",="1/5",="1/6",="1/7",="1/8",="1/9",="1/10",="1/11",="1/12",="1/13",="1/14",="1/15",="1/16",="1/17",="1/18",="1/19",="1/20",="1/21",="1/22",="1/23",="1/24",="1/25",="1/26",="1/27",="1/28",="1/29",="1/30",="1/31",="1/32",="1/33",="1/34",="1/35",="1/36",="1/37",="1/38",="1/39",="1/40",="1/41",="1/42",="1/43",="1/44",="1/45",="1/46",="1/47",="1/48",="1/49",="1/50",="1/51",="1/52",="1/53",="1/54",="1/55",="1/56",="1/57",="1/58",="1/59",="1/60",="1/61",="1/62",="1/63",="1/64"
="Base 2",="0.1",="0.0101010101010101010101010101010101010101010101010101",="0.01",="0.0011001100110011001100110011001100110011001100110011",="0.00101010101010101010101010101010101010101010101010101",="0.001001001001001001001001001001001001001001001001001",="0.001",="0.00011100011100011100011100011100011100011100011100011",="0.00011001100110011001100110011001100110011001100110011",="0.00010111010001011101000101110100010111010001011101",="0.0001010101010101010101010101010101010101010101010101",="0.0001001110110001001110110001001110110001001110110001",="0.0001001001001001001001001001001001001001001001001001",="0.0001000100010001000100010001000100010001000100010001",="0.0001",="0.00001111000011110000111100001111000011110000111100001",="0.00001110001110001110001110001110001110001110001110001",="0.0000110101111001010000110101111001010000110101111001",="0.00001100110011001100110011001100110011001100110011001",="0.00001100001100001100001100001100001100001100001100001",="0.000010111010001011101000101110100010111010001011101",="0.0000101100100001011001000010110010000101100100001011",="0.00001010101010101010101010101010101010101010101010101",="0.00001010001111010111000010100011110101110000101000111",="0.00001001110110001001110110001001110110001001110110001",="0.0000100101111011010000100101111011010000100101111011",="0.00001001001001001001001001001001001001001001001001001",="0.00001000110100111101110010110000100011010011110111001",="0.00001000100010001000100010001000100010001000100010001",="0.00001000010000100001000010000100001000010000100001",="0.00001",="0.00000111110000011111000001111100000111110000011111",="0.0000011110000111100001111000011110000111100001111",="0.000001110101000001110101000001110101000001110101",="0.00000111000111000111000111000111000111000111000111",="0.0000011011101011001111100100010100110000011011101011",="0.00000110101111001010000110101111001010000110101111001",="0.000001101001000001101001000001101001000001101001",="0.000001100110011001100110011001100110011001100110011",="0.00000110001111100111000001100011111001110000011000111",="0.0000011000011000011000011000011000011000011000011",="0.00000101111101000001011111010000010111110100000101111",="0.0000010111010001011101000101110100010111010001011101",="0.000001011011000001011011000001011011000001011011",="0.00000101100100001011001000010110010000101100100001011",="0.0000010101110010011000100000101011100100110001000001",="0.0000010101010101010101010101010101010101010101010101",="0.00000101001110010111100000101001110010111100000101001",="0.00000101000111101011100001010001111010111000010100011",="0.000001010000010100000101000001010000010100000101",="0.00000100111011000100111011000100111011000100111011",="0.0000010011010100100001110011111011001010110111100011",="0.00000100101111011010000100101111011010000100101111011",="0.000001001010011110010000010010100111100100000100101",="0.000001001001001001001001001001001001001001001001001",="0.00000100011111011100000100011111011100000100011111011",="0.000001000110100111101110010110000100011010011110111",="0.00000100010101101100011110010111110111010100100111",="0.00000100010001000100010001000100010001000100010001",="0.00000100001100100101110001010011111011110011011010001",="0.000001000010000100001000010000100001000010000100001",="0.000001000001000001000001000001000001000001000001",="0.000001"
="Base 3",="0.111111111111111111111111111111111",="0.1",="0.02020202020202020202020202020202",="0.01210121012101210121012101210121",="0.011111111111111111111111111111111",="0.01021201021201021201021201021201",="0.01010101010101010101010101010101",="0.01",="0.00220022002200220022002200220022",="0.002110021100211002110021100211002",="0.002020202020202020202020202020202",="0.002002002002002002002002002002002",="0.001221001221001221001221001221001",="0.001210121012101210121012101210121",="0.00120012001200120012001200120012",="0.00112021221102010011202122110201",="0.001111111111111111111111111111111",="0.00110210022112012200110210022112",="0.00110011001100110011001100110011",="0.001021201021201021201021201021201",="0.001020010200102001020010200102001",="0.001011200210010112002100101120021",="0.001010101010101010101010101010101",="0.001002011022122021120010020110221",="0.001001001001001001001001001001001",="0.001",="0.000222000222000222000222000222",="0.000221010201112220012120211100022",="0.000220022002200220022002200220022",="0.000212111221020222010111001202",="0.00021121000211210002112100021121",="0.0002110021100211002110021100211",="0.00021010222012120002101022201212",="0.000202211101000202211101000202211",="0.00020202020202020202020202020202",="0.000201200222021022000201200222021",="0.000201011222021211000201011222021",="0.0002002002002002002002002002002",="0.00020002000200020002000200020002",="0.00012221000122210001222100012221",="0.0001221001221001221001221001221",="0.00012122120200211121022210100102",="0.000121120100012112010001211201",="0.000121012101210121012101210121012",="0.000120211220001202112200012021122",="0.000120111210020220010110001201112",="0.000120012001200120012001200120012",="0.000112212200201211120222110010022",="0.000112120122211010210001121201222",="0.000112021221102010011202122110201",="0.000112000112000112000112000112",="0.00011120210101200211220221222111",="0.000111111111111111111111111111111",="0.000111020212120012220001110202121",="0.000111000111000111000111000111",="0.000110210022112012200110210022112",="0.000110120100202221121021220200011",="0.000110100121110210222002021210001",="0.000110011001100110011001100110011",="0.000102221200010222120001022212",="0.000102202110121222120020112101",="0.00010212010212010212010212010212",="0.00010210111220220001021011122022"
="Base 4",="0.2",="0.11111111111111111111111111",="0.1",="0.03030303030303030303030303",="0.02222222222222222222222222",="0.02102102102102102102102102",="0.02",="0.01301301301301301301301301",="0.01212121212121212121212121",="0.0113101131011310113101131",="0.01111111111111111111111111",="0.01032301032301032301032301",="0.01021021021021021021021021",="0.01010101010101010101010101",="0.01",="0.003300330033003300330033",="0.0032032032032032032032032",="0.00311321100311321100311321",="0.0030303030303030303030303",="0.003003003003003003003003",="0.00232202322023220232202322",="0.00230201121002302011210023",="0.00222222222222222222222222",="0.00220331130022033113002203",="0.0021312021312021312021312",="0.00211323100211323100211323",="0.0021021021021021021021021",="0.0020310331302300203103313",="0.0020202020202020202020202",="0.0020100201002010020100201",="0.002",="0.0013300133001330013300133",="0.0013201320132013201320132",="0.001311001311001311001311",="0.0013013013013013013013013",="0.00123223033210110300123223",="0.0012233022012233022012233",="0.001221001221001221001221",="0.00121212121212121212121212",="0.00120332130012033213001203",="0.0012012012012012012012012",="0.00113310011331001133100113",="0.00113101131011310113101131",="0.001123001123001123001123",="0.00112100230201121002302011",="0.00111302120200223210301001",="0.00111111111111111111111111",="0.0011032113200221302330011",="0.00110132232011013223201101",="0.001100110011001100110011",="0.0010323010323010323010323",="0.00103110201303323022313203",="0.00102331220102331220102331",="0.00102213210010221321001022",="0.00102102102102102102102102",="0.00101331300101331300101331",="0.00101221323211201012213232",="0.0010111230132113313110213",="0.0010101010101010101010101",="0.0010030211301103323303122",="0.00100201002010020100201002",="0.001001001001001001001001",="0.001"
="Base 5",="0.2222222222222222222222",="0.1313131313131313131313",="0.1111111111111111111111",="0.1",="0.0404040404040404040404",="0.0324120324120324120324",="0.0303030303030303030303",="0.0234210234210234210234",="0.0222222222222222222222",="0.0211402114021140211402",="0.0202020202020202020202",="0.0143014301430143014301",="0.0134310134310134310134",="0.0131313131313131313131",="0.0124012401240124012401",="0.0121340243231042012134",="0.0114330114330114330114",="0.0112421410112421410112",="0.0111111111111111111111",="0.0104340104340104340104",="0.0103201032010320103201",="0.0102041332143424031123",="0.0101010101010101010101",="0.01",="0.00440044004400440044",="0.0043033224401411220043",="0.0042130042130042130042",="0.0041233440321100412334",="0.004040404040404040404",="0.004004004004004004004",="0.0034231200342312003423",="0.00334322030033432203",="0.0033142344113021003314",="0.0032412032412032412032",="0.0032140032140032140032",="0.0031421220401133424413",="0.0031210430031210430031",="0.00310031003100310031",="0.003030303030303030303",="0.00301102204414334224",="0.0024420024420024420024",="0.0024231412234340431114",="0.00241002410024100241",="0.0023421023421023421023",="0.0023243141044212013034",="0.0023122104111424140101",="0.00230023002300230023",="0.0022334143213314042434",="0.0022222222222222222222",="0.0022111412410144002211",="0.00220022002200220022",="0.0021344012014204110312",="0.0021241334423203110021",="0.002114021140211402114",="0.0021040021040021040021",="0.002044030133412212002",="0.0020341442410300203414",="0.0020244034013214130111",="0.002020202020202020202",="0.0020110332101304424334",="0.002002002002002002002",="0.0014430014430014430014",="0.0014340322421131001434"
="Base 6",="0.3",="0.2",="0.13",="0.11111111111111111111",="0.1",="0.05050505050505050505",="0.043",="0.04",="0.03333333333333333333",="0.03134524210313452421",="0.03",="0.02434053121502434053",="0.02323232323232323232",="0.02222222222222222222",="0.0213",="0.02041224535143310204",="0.02",="0.01521132501521132501",="0.01444444444444444444",="0.01414141414141414141",="0.0134524210313452421",="0.01322030441013220304",="0.013",="0.01235012350123501235",="0.01215024340531215024",="0.012",="0.01141414141414141414",="0.0112404544315101124",="0.01111111111111111111",="0.01054501054501054501",="0.01043",="0.01031345242103134524",="0.01020412245351433102",="0.01010101010101010101",="0.01",="0.00550055005500550055",="0.0054034423054034423",="0.00531215024340531215",="0.00522222222222222222",="0.00513354124403302344",="0.0050505050505050505",="0.005005005005005005",="0.00452421031345242103",="0.00444444444444444444",="0.00441013220304410132",="0.0043324030214420131",="0.0043",="0.00422405513315004224",="0.00415304153041530415",="0.00412245351433102041",="0.00405312150243405312",="0.00402414511245515314",="0.004",="0.00353214250035321425",="0.00350505050505050505",="0.0034423054034423054",="0.0034202252135330342",="0.00335444022351041343",="0.00333333333333333333",="0.00331250404415445301",="0.0032523032523032523",="0.00323232323232323232",="0.003213"
="Base 7",="0.333333333333333333",="0.222222222222222222",="0.151515151515151515",="0.125412541254125412",="0.111111111111111111",="0.1",="0.060606060606060606",="0.053053053053053053",="0.046204620462046204",="0.043116235504311623",="0.040404040404040404",="0.035245631421035245",="0.033333333333333333",="0.031603160316031603",="0.030303030303030303",="0.026114346405523202",="0.025025025025025025",="0.024024024024024024",="0.023102310231023102",="0.022222222222222222",="0.021406452602140645",="0.020625113436460415",="0.020202020202020202",="0.016501650165016501",="0.016122650544016122",="0.015463241015463241",="0.015151515151515151",="0.014553601455360145",="0.014301430143014301",="0.014031062154342014",="0.013501350135013501",="0.013252056401325205",="0.013042156536245101",="0.012541254125412541",="0.012346012346012346",="0.012161463012161463",="0.012012012012012012",="0.011536432605011536",="0.011401140114011401",="0.011236326213520225",="0.011111111111111111",="0.010656010656010656",="0.010536561301053656",="0.010423264552010423",="0.010312405216563542",="0.01020411224523503",="0.010101010101010101",="0.006600066000666006",="0.0066006600660066",="0.0065035621241533",="0.006411323622006411",="0.006320535545166034",="0.006231454006231454",="0.006144033642201532",="0.00606060606060606",="0.006006006006006006",="0.005625300562530056",="0.005546023304103215",="0.0055005500550055",="0.005423446353362115",="0.005350364425521005",="0.005305305305305305",="0.0052341600523416"
="Base 8",="0.4",="0.25252525252525252",="0.2",="0.14631463146314631",="0.12525252525252525",="0.11111111111111111",="0.1",="0.0707070707070707",="0.06314631463146314",="0.05642721350564272",="0.05252525252525252",="0.0473047304730473",="0.04444444444444444",="0.0421042104210421",="0.04",="0.0360741703607417",="0.03434343434343434",="0.03274503274503274",="0.03146314631463146",="0.0303030303030303",="0.02721350564272135",="0.02620544131026205",="0.02525252525252525",="0.02436560507534121",="0.02354235423542354",="0.02275502275502275",="0.02222222222222222",="0.02151734541064756",="0.02104210421042104",="0.02041020410204102",="0.02",="0.01740760370174076",="0.01703607417036074",="0.0165016501650165",="0.01616161616161616",="0.01565476212301565",="0.01536241536241536",="0.0151015101510151",="0.01463146314631463",="0.01437160307634061",="0.01414141414141414",="0.01372027640575013",="0.01350564272135056",="0.0133013301330133",="0.01310262054413102",="0.0127114202562304",="0.01252525252525252",="0.01234570123457012",="0.0121727024365605",="0.0120240501202405",="0.01166116611661166",="0.01152207175453361",="0.01136641136641136",="0.01123620224744045",="0.01111111111111111",="0.01076701076701076",="0.01064756260432367",="0.01053307457565116",="0.01042104210421042",="0.01031134247674664",="0.01020410204102041",="0.0101010101010101",="0.01"
="Base 9",="0.4444444444444444",="0.3",="0.2222222222222222",="0.1717171717171717",="0.1444444444444444",="0.1251251251251251",="0.1111111111111111",="0.1",="0.0808080808080808",="0.073240732407324",="0.0666666666666666",="0.062062062062062",="0.057057057057057",="0.0535353535353535",="0.0505050505050505",="0.0467842104678421",="0.0444444444444444",="0.0423275180423275",="0.0404040404040404",="0.0376376376376376",="0.036120361203612",="0.0346231150703462",="0.0333333333333333",="0.0321385675032138",="0.031031031031031",="0.03",="0.028028028028028",="0.0271214861767402",="0.0262626262626262",="0.025457228114052",="0.0247024702470247",="0.0240732407324073",="0.0233865502338655",="0.0227410227410227",="0.0222222222222222",="0.0216282380216282",="0.0211582540211582",="0.0206206206206206",="0.0202020202020202",="0.0187018701870187",="0.0183183183183183",="0.0178520747283312",="0.017510175101751",="0.0171717171717171",="0.0167560524801675",="0.0164532261130514",="0.0161616161616161",="0.0157806545284032",="0.0155187337015518",="0.0152573631525736",="0.015015015015015",="0.0146711624827874",="0.0144444444444444",="0.0142255058014225",="0.014014014014014",="0.0137084656137084",="0.0135106875378201",="0.013317423862253",="0.0131313131313131",="0.012850128501285",="0.012673558506471",="0.0125125125125125",="0.0123456801234568"
="Base 10",="0.5",="0.333333333333333",="0.25",="0.2",="0.166666666666666",="0.142857142857142",="0.125",="0.111111111111111",="0.1",="0.09090909090909",="0.083333333333333",="0.076923076923076",="0.071428571428571",="0.066666666666666",="0.0625",="0.058823529411764",="0.055555555555555",="0.052631578947368",="0.05",="0.047619047619047",="0.045454545454545",="0.043478260869565",="0.041666666666666",="0.04",="0.038461538461538",="0.037037037037037",="0.035714285714285",="0.034482758620689",="0.033333333333333",="0.032258064516129",="0.03125",="0.03030303030303",="0.029411764705882",="0.028571428571428",="0.027777777777777",="0.027027027027027",="0.026315789473684",="0.025641025641025",="0.025",="0.024390243902439",="0.023809523809523",="0.023255813953488",="0.022727272727272",="0.022222222222222",="0.021739130434782",="0.02127659574468",="0.020833333333333",="0.020408163265306",="0.02",="0.019607843137254",="0.019230769230769",="0.018867924528301",="0.018518518518518",="0.018181818181818",="0.017857142857142",="0.017543859649122",="0.017241379310344",="0.016949152542372",="0.016666666666666",="0.01639344262295",="0.016129032258064",="0.015873015873015",="0.015625"
="Base 11",="0.555555555555555",="0.373737373737373",="0.282828282828282",="0.222222222222222",="0.191919191919191",="0.163163163163163",="0.141414141414141",="0.124986124986124",="0.111111111111111",="0.1",="0.0A0A0A0A0A0A0A",="0.093425A17685093",="0.087087087087087",="0.08080808080808",="0.076207620762076",="0.07132651A397845",="0.067A43067A43067",="0.064064064064064",="0.06060606060606",="0.058421058421058",="0.055555555555555",="0.05296243390A581",="0.05050505050505",="0.049270492704927",="0.047212A63898047",="0.045329408A65781",="0.043599043599043",="0.04199534608387A",="0.04040404040404",="0.039A32146818574",="0.038659310386593",="0.037373737373737",="0.03616880A749422",="0.035035035035035",="0.033A77033A77033",="0.032A78032A78032",="0.032032032032032",="0.031145706229031",="0.03030303030303",="0.02A510894324619",="0.029766029766029",="0.028A541028A541",="0.028282828282828",="0.02763A02763A027",="0.026A3121745A84",="0.026356872899144",="0.025802580258025",="0.0251883404A3656",="0.024690246902469",="0.0241095434A6289",="0.0236615319A4023",="0.0231277520914A8",="0.022714759A88396",="0.022222222222222",="0.02184A02184A021",="0.021395021395021",="0.020A4817859743A",="0.0206175041133A",="0.02020202020202",="0.01A901A901A901A",="0.01A516623409837",="0.01A14401A14401A",="0.0198847057432A1"
